,carat,cut,color,clarity,depth,table,x,y,z,volume,price_predicted
39,0.3,4,1,5,62.6,58.0,4.32,4.27,2.69,49.620816,431.72449550178385
40,0.32,3,7,6,60.1,58.0,4.41,4.44,2.66,52.083864000000005,836.6795390961571
41,0.33,5,4,5,61.7,56.0,4.44,4.47,2.75,54.578700000000005,747.837519791214
42,0.25,5,4,5,62.7,54.0,4.05,4.08,2.55,42.1362,471.5182597353619
43,0.3,5,5,5,61.0,56.0,4.37,4.35,2.66,50.56527,685.5068819038647
44,1.26,3,5,8,60.0,60.0,7.04,7.09,4.24,211.633664,12499.27713388502
45,1.14,5,1,5,61.6,56.0,6.71,6.73,4.14,186.955362,5302.515024011453
46,1.51,4,3,3,62.8,60.0,7.22,7.14,4.51,232.49410799999995,8930.562696249728
47,0.51,3,6,2,62.0,57.0,5.09,5.13,3.17,82.77408899999999,1131.4301279858441
48,0.32,5,4,8,61.0,57.0,4.44,4.48,2.72,54.104064000000015,907.833953923069
49,0.94,4,6,2,60.4,59.0,6.37,6.34,3.84,155.08147200000002,3870.3600831782405
50,0.51,4,6,4,60.6,58.0,5.15,5.12,3.11,82.00448,1586.863481599787
51,1.12,5,3,2,61.4,56.0,6.69,6.66,4.1,182.67714,4472.652877185849
52,1.33,4,4,2,60.3,58.0,7.19,7.16,4.33,222.910132,6883.04647062199
53,0.32,4,3,4,61.7,59.0,4.35,4.4,2.7,51.678000000000004,565.3607733630131
54,0.7,5,6,4,62.6,57.0,5.63,5.68,3.54,113.20353599999999,3014.9374813260615
55,1.35,5,3,7,61.9,57.0,7.06,7.09,4.38,219.242652,11574.880759939186
56,0.23,2,5,4,63.8,57.0,3.93,3.84,2.48,37.426176,358.1211822552575
57,0.9,3,5,1,61.9,59.0,6.16,6.18,3.82,145.42281599999998,2316.866378642844
58,1.03,5,7,3,61.3,56.0,6.48,6.54,3.99,169.09300800000003,5849.519601940354
59,1.02,2,6,2,62.8,64.0,6.36,6.32,3.98,159.97689600000004,4122.601534208694
60,0.55,5,3,6,61.7,57.0,5.28,5.26,3.25,90.2616,1933.0379527429902
61,0.34,5,6,8,61.7,56.0,4.46,4.48,2.76,55.147008,1076.3319784186706
62,0.71,4,7,6,60.0,58.0,5.92,5.84,3.53,122.041984,4167.292320217456
63,0.55,2,4,3,63.6,61.0,5.22,5.16,3.3,88.88615999999999,1412.4601050706772
64,0.54,5,4,4,61.5,55.0,5.24,5.27,3.23,89.195804,1658.7638912375526
65,1.23,5,3,8,61.3,57.0,6.87,6.92,4.23,201.09589200000002,10364.474432486744
66,0.27,4,6,7,60.6,58.0,4.18,4.2,2.54,44.592240000000004,672.6149298627406
67,0.53,5,7,4,61.4,56.0,5.18,5.21,3.19,86.091082,1832.2792932309574
68,1.25,5,4,2,61.1,55.0,6.95,6.99,4.26,206.95292999999998,6046.390756480425
69,0.34,5,6,6,62.3,57.0,4.48,4.44,2.78,55.29753600000001,957.1499180569252
70,0.36,4,2,4,62.7,59.0,4.54,4.58,2.86,59.468551999999995,650.5855422593947
71,0.34,5,4,3,61.2,57.0,4.56,4.53,2.78,57.425903999999996,639.1477424184837
72,1.12,2,6,3,64.3,57.0,6.56,6.5,4.2,179.08800000000002,6059.03496230512
73,0.3,5,3,5,61.6,55.0,4.27,4.3,2.64,48.47304,562.1882514513769
74,0.36,5,7,3,62.0,56.0,4.61,4.55,2.84,59.57042,810.2566743016862
75,0.71,5,5,7,61.1,54.0,5.78,5.84,3.55,119.83096,3977.436078836406
76,0.32,4,4,4,62.6,60.0,4.33,4.36,2.72,51.350336000000006,617.1636607942968
77,0.5,4,6,4,61.3,60.0,5.11,5.07,3.12,80.832024,1565.3206608124608
78,0.51,3,6,3,63.3,59.0,5.09,5.05,3.21,82.511445,1404.6007259361909
79,0.58,5,1,5,61.9,58.0,5.31,5.35,3.3,93.74804999999998,1416.9443708863867
80,0.3,5,5,8,62.5,54.0,4.31,4.33,2.7,50.38821,856.9053111780087
81,0.39,5,4,7,62.3,57.0,4.7,4.64,2.91,63.46128,1182.2207256169986
82,0.31,5,5,4,61.8,56.0,4.37,4.33,2.69,50.900449,637.9545439886592
83,0.9,3,3,5,60.5,63.0,6.13,6.16,3.72,140.470176,4123.1404711886335
84,0.81,4,4,2,61.7,57.0,5.99,5.94,3.68,130.936608,2517.452648337052
85,0.7,4,6,2,61.1,61.0,5.74,5.69,3.49,113.98549400000002,2173.320328277413
86,0.38,3,1,4,60.5,60.0,4.64,4.68,2.82,61.23686399999998,547.4662816312589
87,0.71,3,4,3,60.0,59.0,5.76,5.8,3.47,115.92576000000001,2309.3040755853385
88,0.71,3,7,4,63.1,58.0,5.67,5.7,3.59,116.02521,3169.1096798181748
89,0.9,3,3,5,62.1,59.0,6.09,6.14,3.8,142.09187999999997,4168.946328589488
90,0.74,3,5,2,63.2,58.0,5.75,5.71,3.62,118.85365000000002,2207.9027554319523
91,1.5,4,3,4,62.4,59.0,7.32,7.29,4.56,243.33436799999998,10761.675549497782
92,1.5,3,5,3,63.0,55.0,7.27,7.31,4.59,243.92958299999998,10383.73629959582
93,0.42,5,5,5,61.0,57.0,4.87,4.84,2.96,69.76956799999999,1244.6550467056347
94,1.01,4,4,4,61.6,58.0,6.45,6.4,3.96,163.46880000000002,5404.01681397782
95,2.48,4,2,2,63.0,62.0,8.62,8.58,5.42,400.86103199999997,16678.848308430806
96,1.02,5,5,6,61.1,56.3,6.48,6.52,3.97,167.73091200000002,7294.086824343254
97,0.4,5,7,4,61.3,57.0,4.77,4.75,2.92,66.1599,1118.5358500783107
98,0.7,5,5,3,61.3,57.0,5.76,5.79,3.54,118.060416,2631.818615234958
99,1.01,2,6,4,62.5,58.0,6.32,6.36,3.96,159.17299200000002,5473.292418953678
100,1.13,3,2,4,60.7,58.0,6.72,6.75,4.09,185.5224,5450.551763432343
101,1.09,5,2,4,61.9,56.0,6.62,6.67,4.09,180.595586,5404.466616808006
102,0.7,3,6,4,62.7,58.0,5.65,5.67,3.55,113.72602499999999,2920.966580592545
103,1.0,4,5,3,60.8,59.0,6.44,6.38,3.9,160.24008,4843.173930140051
104,1.52,5,3,4,61.8,54.0,7.42,7.43,4.59,253.04945399999997,11322.49336752165
105,0.41,5,4,6,62.2,56.0,4.75,4.8,2.97,67.71600000000001,1212.705726331948
106,0.43,3,1,4,60.9,59.0,4.86,4.9,2.97,70.72758000000002,706.8935399268779
107,0.31,3,6,2,60.8,61.0,4.39,4.43,2.68,52.119836,478.7629859280417
108,0.33,5,4,4,62.2,56.0,4.47,4.44,2.77,54.97563600000001,686.0600346178252
109,0.7,4,6,4,61.0,59.0,5.74,5.7,3.49,114.18582000000002,2995.845724257132
110,0.33,5,4,6,62.5,54.0,4.41,4.45,2.77,54.359865000000006,810.108660682541
111,1.16,4,3,2,62.6,57.0,6.75,6.67,4.2,189.0945,4769.358538748071
112,0.51,5,6,4,61.8,57.0,5.15,5.14,3.18,84.17778,1688.838099890636
113,1.13,2,4,1,63.4,58.0,6.58,6.61,4.18,181.804084,3268.493726558372
114,0.52,4,6,4,62.5,60.0,5.1,5.14,3.2,83.88479999999998,1690.8157477796092
115,0.23,3,5,6,61.4,56.0,3.94,3.97,2.43,38.009574,439.6885828083259
116,0.5,1,5,3,64.7,60.0,4.99,4.84,3.18,76.80208800000001,1114.814017766423
117,1.08,3,7,5,60.5,58.0,6.53,6.63,3.98,172.309722,7494.144798768422
118,0.3,4,4,5,62.2,59.0,4.31,4.28,2.67,49.252956,627.7646875900285
119,0.48,5,1,5,62.2,54.0,5.01,5.06,3.13,79.34737799999999,1006.3203219477663
120,1.51,5,1,5,61.6,58.0,7.35,7.43,4.55,248.47777499999998,9138.840583931209
121,1.03,4,5,2,62.4,59.0,6.45,6.38,4.0,164.604,4273.142284060795
122,0.31,3,4,6,63.4,59.0,4.29,4.26,2.71,49.52633399999999,691.7865635586978
123,0.4,5,4,8,62.3,55.0,4.74,4.76,2.96,66.784704,1346.0670325658484
124,1.03,5,6,4,61.7,56.0,6.45,6.54,4.01,169.15383,6430.29030447285
125,1.16,4,1,3,62.5,58.0,6.73,6.67,4.19,188.085329,4236.1446156373095
126,1.04,3,1,2,62.8,57.0,6.44,6.5,4.06,169.95159999999998,2762.066252778626
127,0.71,4,6,4,61.5,60.0,5.76,5.68,3.52,115.163136,3088.7533533532282
128,0.29,3,3,6,61.2,56.0,4.26,4.29,2.61,47.69879399999999,565.3282746055634
129,1.09,5,4,2,61.2,57.0,6.68,6.63,4.07,180.253788,4716.289804550268
130,0.74,5,5,5,62.3,56.0,5.76,5.79,3.6,120.06144,3542.302359329135
131,0.42,5,7,4,62.4,55.0,4.82,4.8,3.0,69.408,1225.7518985086404
132,0.54,5,2,3,62.0,55.0,5.21,5.25,3.24,88.6221,1187.6008975762381
133,0.51,5,6,4,62.6,55.0,5.08,5.11,3.19,82.80857200000001,1643.1778342963478
134,1.01,4,5,2,58.8,61.0,6.53,6.46,3.82,161.142116,4033.01977209148
135,1.0,4,3,4,59.4,61.0,6.51,6.46,3.85,161.91021,4889.2852212576345
136,1.02,4,3,4,61.0,60.0,6.5,6.46,3.95,165.8605,5144.432019851185
137,0.73,2,6,5,60.8,61.0,5.77,5.8,3.52,117.80031999999999,3347.880381677452
138,1.01,4,3,2,60.3,59.0,6.51,6.45,3.91,164.178945,3597.432419724011
139,0.33,2,7,3,63.1,55.0,4.38,4.4,2.77,53.38344000000001,620.6512050028867
140,1.22,5,5,5,62.3,57.0,6.79,6.83,4.24,196.632968,9293.696527434997
141,0.31,5,7,5,62.0,54.0,4.35,4.36,2.7,51.208200000000005,776.6789560508271
142,1.07,4,4,3,60.5,62.0,6.69,6.6,4.02,177.49908,5539.904081380999
143,1.01,3,6,6,60.2,60.0,6.46,6.5,3.9,163.761,7115.162713946427
144,0.23,3,5,8,59.5,58.0,4.0,4.03,2.39,38.5268,506.15646561896364
145,0.35,3,7,5,60.9,58.0,4.54,4.56,2.77,57.34564799999999,917.7045442677452
146,0.55,5,5,6,60.7,56.0,5.31,5.34,3.23,91.58794199999998,2235.6934999031505
147,0.9,5,4,3,61.9,59.0,6.16,6.19,3.82,145.658128,3849.545860741447
148,0.72,5,4,7,62.2,57.0,5.72,5.75,3.57,117.4173,3745.97127980646
149,0.83,3,6,3,63.5,58.0,5.93,5.98,3.78,134.04409199999998,3532.8642206636428
150,1.04,5,3,3,61.9,57.0,6.49,6.46,4.01,168.120854,4673.959876494813
151,0.71,3,6,4,59.9,59.0,5.77,5.81,3.47,116.327239,2975.8721511824883
152,0.43,5,5,3,61.3,56.0,4.9,4.86,2.99,71.20386000000002,1014.6828071241414
153,0.33,5,6,4,61.3,55.0,4.46,4.48,2.74,54.74739200000001,749.776212592183
154,1.72,1,7,2,64.6,58.0,7.53,7.46,4.84,271.881192,10889.518075317837
155,1.13,5,4,3,61.8,55.0,6.71,6.75,4.16,188.4168,6129.733564872719
156,0.52,5,7,3,62.4,56.0,5.12,5.17,3.21,84.96998400000001,1568.2060180296478
157,0.3,3,4,5,62.5,55.0,4.25,4.32,2.68,49.2048,597.4176068901307
158,1.53,4,4,5,61.0,60.0,7.43,7.4,4.52,248.51863999999998,13428.727137311169
159,2.02,1,3,2,56.5,61.0,8.33,8.37,4.72,329.088312,11554.580034299343
160,0.33,4,3,5,61.0,59.0,4.5,4.45,2.73,54.66825000000001,686.3444169769614
161,0.7,3,4,1,61.5,63.0,5.73,5.65,3.5,113.31075000000001,1368.3796270884047
162,1.26,4,2,3,60.5,62.0,6.97,6.92,4.2,202.57608,5970.617446448647
163,0.3,4,7,4,62.5,59.0,4.28,4.23,2.66,48.15770400000001,643.6605098498256
164,0.59,3,3,5,62.1,55.0,5.37,5.41,3.35,97.323195,1929.973495070214
165,0.82,5,6,3,62.1,55.0,5.98,6.0,3.72,133.4736,3565.97409047245
166,0.39,3,4,6,60.7,61.0,4.7,4.73,2.86,63.58066,1047.0352229144385
167,0.31,5,3,8,62.1,54.0,4.33,4.37,2.7,51.089670000000005,764.4002404669379
168,1.26,5,2,2,62.0,56.0,7.0,6.94,4.32,209.86560000000003,5201.826580951165
169,1.51,3,5,2,62.7,60.0,7.25,7.32,4.57,242.52990000000003,8677.08703282326
170,0.56,5,4,5,60.6,56.0,5.33,5.36,3.24,92.56291200000001,1970.3096300663465
171,0.31,5,4,7,62.5,55.0,4.34,4.33,2.71,50.926862,783.6518024895316
172,0.56,5,3,6,60.9,57.0,5.38,5.33,3.26,93.481804,2039.121724283829
173,0.96,4,6,2,58.2,58.0,6.52,6.47,3.78,159.45703199999997,4005.575754748233
174,0.52,3,6,3,62.7,57.0,5.1,5.14,3.21,84.14693999999999,1427.4164543768022
175,1.02,3,3,3,63.5,55.0,6.31,6.35,4.02,161.07536999999996,4149.823221317008
176,1.06,2,2,5,57.5,62.0,6.71,6.83,3.9,178.73427,5324.283294083872
177,1.21,5,3,3,62.1,59.0,6.81,6.75,4.21,193.52317499999998,6247.280670737354
178,2.02,1,3,4,64.5,57.0,8.0,7.95,5.14,326.904,16250.193310985253
179,1.52,5,4,4,62.1,56.0,7.39,7.34,4.57,247.888682,12117.65388125018
180,2.03,3,2,2,62.8,59.0,8.04,8.08,5.06,328.71379199999996,11543.288464174435
181,0.28,2,5,6,61.2,62.0,4.16,4.21,2.56,44.834816000000004,585.0394709654054
182,0.7,1,4,5,65.8,61.0,5.61,5.46,3.64,111.495384,2704.974077461705
183,0.7,5,4,7,62.3,57.0,5.61,5.65,3.51,111.254715,3417.234581707231
184,2.32,1,3,1,70.5,55.0,7.93,7.9,5.58,349.57026,10089.061144621706
185,0.58,5,1,4,60.9,57.0,5.38,5.4,3.28,95.29056,1289.3541400834902
186,0.54,5,7,5,61.6,54.0,5.24,5.25,3.23,88.85730000000001,2137.1030992994774
187,1.2,3,2,3,62.9,54.0,6.75,6.77,4.25,194.214375,5218.94066263925
188,0.52,3,5,4,62.4,57.0,5.12,5.13,3.2,84.04992,1550.968940501701
189,1.57,4,5,2,60.2,60.0,7.49,7.43,4.49,249.871643,9407.129500417534
190,0.7,4,2,1,62.3,58.0,5.69,5.55,3.51,110.844045,1108.817632283793
191,1.57,3,3,3,62.0,60.0,7.4,7.44,4.6,253.2576,9852.55152544825
192,1.02,3,7,4,63.2,58.0,6.4,6.36,4.03,164.03712000000004,6292.065787393774
193,1.5,4,5,4,62.4,57.0,7.38,7.29,4.58,246.404916,12558.660895694047
194,0.7,3,6,5,62.7,60.0,5.59,5.64,3.52,110.97715199999999,3155.8242425652734
195,0.42,4,5,3,60.6,58.0,4.89,4.81,2.94,69.15144599999999,949.0697713446253
196,2.01,4,3,3,60.0,60.0,8.16,8.13,4.89,324.40651199999996,15671.9464236162
197,0.31,4,4,5,62.2,58.0,4.38,4.34,2.71,51.514932,673.3280585855904
198,0.44,5,6,6,61.9,56.0,4.91,4.88,3.03,72.60122399999999,1548.5605633846465
199,0.7,5,7,6,61.7,55.0,5.73,5.75,3.54,116.63415000000002,3925.6781990438053
200,1.2,4,1,3,60.0,61.0,6.89,6.84,4.12,194.16571199999998,4489.993812677276
201,1.05,5,4,5,62.2,57.0,6.49,6.51,4.04,170.689596,6625.380771406122
202,0.7,5,5,1,62.1,57.0,5.67,5.64,3.52,112.56537599999999,1471.0068301758517
203,0.53,4,5,3,60.9,59.0,5.21,5.23,3.18,86.64959400000001,1453.8228063467354
204,1.09,4,3,2,61.2,62.0,6.63,6.58,4.04,176.246616,4220.776807712497
205,0.92,4,6,2,61.8,59.0,6.19,6.11,3.8,143.71942,3474.061231174017
206,0.71,4,5,4,58.0,62.0,5.85,5.81,3.38,114.88112999999998,2864.2956046564254
207,0.57,2,5,2,61.9,57.7,5.32,5.34,3.3,93.74904,1310.2579808197243
208,0.71,3,4,4,63.5,59.0,5.67,5.63,3.59,114.60033899999999,2700.0970967510916
209,0.89,4,4,3,61.1,58.0,6.24,6.17,3.79,145.91803199999998,3749.029527784724
210,1.06,5,4,3,62.9,56.0,6.52,6.49,4.09,173.067532,5350.735660411423
211,0.86,4,3,2,61.0,58.0,6.15,6.12,3.74,140.76612000000003,2654.485092588118
212,1.1,4,4,4,60.2,58.0,6.75,6.71,4.05,183.43462499999998,6600.486341072746
213,0.7,5,6,3,62.5,57.0,5.7,5.72,3.57,116.39627999999999,2741.756277769776
214,1.04,4,4,5,61.5,61.0,6.56,6.51,4.02,171.67651199999997,6630.785558051027
215,0.93,4,6,1,62.3,60.0,6.23,6.2,3.87,149.48262000000003,2676.11825282134
216,1.1,4,5,1,59.8,61.0,6.7,6.65,3.99,177.77445000000003,3511.680947097413
217,2.12,4,3,2,62.3,58.0,8.25,8.16,5.12,344.67840000000007,14342.347966019464
218,0.33,5,5,7,62.4,55.0,4.44,4.47,2.78,55.174104,950.1038237691298
219,0.9,1,2,4,65.8,55.0,6.05,6.01,3.97,144.351185,3176.3100723046805
220,0.71,5,6,5,62.0,57.0,5.72,5.66,3.53,114.28445599999999,3428.2319567526424
221,1.75,5,4,4,62.1,57.0,7.73,7.69,4.79,284.73532300000005,15672.880634558587
222,0.81,5,3,3,61.4,56.0,6.0,6.05,3.7,134.31,2941.941353131037
223,0.75,2,2,7,63.9,61.0,5.7,5.67,3.63,117.31797,3012.6189417887085
224,0.4,5,4,4,62.6,56.0,4.69,4.74,2.95,65.58027000000001,950.6519029063259
225,0.34,5,4,4,62.1,55.0,4.49,4.46,2.78,55.670612,703.0525685919479
226,0.35,4,5,4,61.8,58.0,4.48,4.52,2.78,56.293887999999995,758.8730661923034
227,1.29,3,2,4,62.8,58.0,6.89,6.93,4.34,207.22501799999998,6907.951477149761
228,1.7,4,4,3,61.7,58.0,7.69,7.6,4.72,275.85568,12746.084816101335
229,1.01,4,5,3,62.7,54.0,6.42,6.37,4.01,163.990554,4989.857239433045
230,0.47,2,7,3,63.8,59.0,4.9,4.88,3.12,74.60544000000002,1186.2686773345931
231,0.71,4,6,3,59.2,59.0,5.86,5.83,3.46,118.206748,2727.1578524598044
232,1.01,5,4,5,61.3,56.0,6.49,6.44,3.96,165.51057600000001,6177.456607784266
233,0.92,2,1,2,59.0,63.0,6.3,6.35,3.73,149.21864999999997,2072.6885815845544
234,0.31,5,5,7,61.6,55.0,4.36,4.41,2.7,51.91452000000001,843.0251404009667
235,0.3,5,4,7,61.3,56.0,4.3,4.34,2.65,49.454299999999996,733.5596382895372
236,0.7,3,4,3,62.1,58.0,5.66,5.7,3.53,113.88485999999999,2264.899282219933
237,1.01,4,3,8,62.1,59.0,6.47,6.41,4.0,165.89079999999998,7151.770132221936
238,1.5,3,3,2,62.5,60.0,7.25,7.32,4.55,241.4685,7456.895632669754
239,0.9,3,7,5,62.2,58.0,6.14,6.18,3.83,145.330116,5441.448811930551
240,0.23,2,5,6,62.8,61.0,3.92,3.95,2.47,38.24548,444.5185224312143
241,0.25,2,6,6,58.0,65.0,4.13,4.18,2.41,41.604794,519.0702600299544
242,0.35,5,5,6,62.1,56.0,4.56,4.52,2.82,58.12358399999999,978.9604069979215
243,0.73,3,7,2,60.4,59.0,5.8,5.86,3.52,119.63776,2367.3099135295506
244,0.4,3,4,8,61.2,57.0,4.77,4.79,2.92,66.717036,1282.656141341622
245,0.3,5,6,4,61.5,55.0,4.33,4.29,2.65,49.225605,627.8932936434268
246,1.01,4,1,6,62.7,59.0,6.46,6.39,4.03,166.35598199999998,4641.403053411114
247,0.51,5,7,2,62.5,55.0,5.12,5.15,3.21,84.64128000000001,1271.5643668463706
248,1.72,4,5,1,60.1,58.0,7.77,7.74,4.66,280.251468,8171.292063166455
249,0.51,2,6,3,64.3,54.0,5.1,5.07,3.27,84.55239,1383.6628990308632
250,0.7,5,6,5,62.2,58.0,5.67,5.71,3.54,114.60997800000001,3417.9721687254237
251,0.52,2,3,4,63.6,57.0,5.05,5.1,3.23,83.18865,1291.3333573587915
252,1.01,4,5,2,62.2,59.0,6.41,6.38,3.98,162.765284,4142.307611603454
253,0.31,5,5,4,62.1,57.0,4.34,4.36,2.7,51.09048,643.8040857149489
254,1.01,2,4,3,63.6,57.0,6.33,6.37,4.04,162.901284,4431.09887310679
255,1.24,2,6,3,63.5,55.0,6.82,6.86,4.35,203.51561999999998,7468.866846555342
256,1.01,3,2,3,60.1,59.0,6.44,6.47,3.88,161.667184,3684.5427917367833
257,1.05,5,4,4,61.9,57.0,6.47,6.51,4.03,169.742391,5873.156518706397
258,0.9,2,4,3,63.7,60.0,6.11,6.07,3.88,143.90027600000002,3568.87931625133
259,0.56,5,6,4,61.6,57.0,5.3,5.32,3.27,92.20092000000001,2001.9977836404328
260,0.8,3,5,3,61.6,56.0,5.96,6.0,3.68,131.5968,3134.044597673424
261,0.3,5,7,3,62.5,57.0,4.32,4.29,2.69,49.853232000000006,592.8630898560617
262,0.76,5,3,4,62.7,57.0,5.82,5.86,3.66,124.82503200000002,2988.433862498291
263,1.21,4,3,3,59.8,58.0,6.95,6.9,4.14,198.5337,6230.315180600874
264,1.51,3,1,5,61.4,57.0,7.3,7.38,4.51,242.97173999999995,8405.282387899984
265,1.21,5,3,6,61.3,56.0,6.85,6.89,4.21,198.69726499999996,8789.278695802921
266,0.7,5,5,3,61.5,57.0,5.67,5.74,3.51,114.23575799999999,2504.3779294421765
267,0.53,5,2,4,62.2,56.0,5.15,5.2,3.22,86.23160000000001,1304.946732621507
268,0.46,5,6,5,61.9,55.0,4.94,4.97,3.06,75.128508,1509.1255907397217
269,0.41,5,4,8,61.7,56.0,4.79,4.81,2.96,68.198104,1399.7891234014312
270,0.37,3,5,4,61.0,58.0,4.61,4.63,2.82,60.190926,823.9290716473713
271,0.58,5,5,2,60.9,57.0,5.4,5.44,3.3,96.94080000000001,1484.6218509888176
272,0.72,4,5,3,59.5,62.0,5.85,5.74,3.45,115.84755000000001,2586.01471660505
273,1.5,2,4,3,58.4,65.0,7.45,7.41,4.34,239.58753000000002,9399.059271647855
274,1.31,3,3,4,61.4,59.0,6.96,7.01,4.29,209.307384,7853.303644785337
275,1.0,3,7,3,62.1,58.0,6.34,6.45,3.97,162.34521,5252.096726112843
276,0.41,4,4,7,60.3,60.0,4.78,4.74,2.87,65.02616400000001,1215.8007196522665
277,0.38,5,5,7,61.0,57.0,4.67,4.71,2.86,62.90770199999999,1202.8217604161935
278,0.35,4,6,7,60.7,59.0,4.58,4.55,2.77,57.72403,1074.212985036009
279,0.3,4,7,4,61.7,58.0,4.32,4.3,2.66,49.41216000000001,654.9656287958602
280,1.13,5,2,5,61.6,54.0,6.72,6.74,4.15,187.96512,6387.019528790325
281,0.37,4,6,6,60.9,59.0,4.61,4.65,2.82,60.45093,1087.008788334255
282,0.39,4,4,6,60.7,61.0,4.73,4.7,2.86,63.58066,1078.9432013421324
283,0.5,2,7,3,63.9,56.0,5.02,4.93,3.18,78.700548,1305.781250539091
284,0.31,5,6,4,61.5,56.0,4.39,4.42,2.71,52.58429799999999,694.5891936359292
285,1.72,2,7,2,63.4,62.0,7.53,7.59,4.79,273.761433,11697.168932462504
286,1.27,5,3,3,59.8,57.0,7.08,7.01,4.22,209.44197599999998,6995.168752467407
287,1.0,2,7,4,62.8,61.0,6.31,6.34,3.97,158.82143799999997,5760.7810456688785
288,1.59,4,2,4,59.9,60.0,7.61,7.57,4.55,262.115035,10854.072161705222
289,0.38,3,5,4,60.9,56.0,4.67,4.72,2.86,63.04126399999999,877.5367194939358
290,2.39,5,1,5,62.1,57.0,8.53,8.57,5.31,388.17215099999993,19947.903837149384
291,1.01,4,5,3,62.2,59.0,6.36,6.41,3.97,161.847372,4955.4262417926375
292,0.31,4,3,7,62.6,58.0,4.33,4.29,2.7,50.15439000000001,707.1136247332148
293,2.05,5,1,5,61.8,58.0,8.12,8.16,5.03,333.283776,15585.989626293333
294,0.7,2,5,3,61.1,61.0,5.68,5.71,3.48,112.866144,2305.995574666904
295,1.01,1,2,1,56.1,63.0,6.7,6.65,3.74,166.63570000000004,2076.992653657986
296,1.55,3,3,4,63.3,56.0,7.38,7.32,4.65,251.20044000000001,11076.396331893062
297,0.33,4,6,7,59.7,58.0,4.49,4.52,2.69,54.593011999999995,951.4997412615863
